Id artist;name;name extended;type;Birth year;Death year;Birth city;Birth state;Birth country;Death city;Death state;Death country;Gender;Nationality (original);ID artworks
380000000034856;& IL TOPO;Aujourd’hui & IL TOPO réunit : Armando della Vittoria, Mattia Barbieri, Iain Baxter&, Marco Bazzini, Caspar is Caspar, Rugiada Cadoni, Guillaume Clermont, Fiona Dabron Van Maercke, Gabriele Di Matteo, Francesco Fossati, Stefania Galegati Shines, Piero Gatto, Martín Giménez ex Larralde, Debora Hirsch, David Liver, Fréderic Liver, Francesco Locatelli, Monica Mazzone, Pietro Montone, Giancarlo Norese, Steve Piccolo, Fabien Pinaroli, Luca Pozzi, Gak Sato, Franco Silvestro, Aldo Spoldi, vedovamazzei.;groupe;;;;;;;;;groupe;;380000000034695|380000000035465
6664664;(À L'EMBALLAGE DE CLÉMENTINE);;anonyme;;;;;;;;;;;280000000115916
6663648;(D'APRÈS);;anonyme;;;;;;;;;;;540000000000477|540000000000478|540000000000479|540000000000505|540000000000480|540000000000481|540000000000482|540000000000483|540000000000484|540000000000485|540000000000486|540000000000487|540000000000489|540000000000490|540000000000491|540000000000492|540000000000493|540000000000494|540000000000495|540000000000496|540000000000497|540000000000498|540000000000499|540000000000500|540000000000501|540000000000502|540000000000503|540000000000504|540000000000535|540000000000536|540000000000488
6660426;(INSCRIPTIONS INTRAN STUDIO);;anonyme;;;;;;;;;;;480000000000233
6660563;(PABLO PICASSO (D'APRÈS));;anonyme;;;;;;;;;;;160000000001109|160000000105183|160000000105186
6660321;(SANS PRÉCISION);;anonyme;;;;;;;;;;;280000000139906|280000000139909|280000000139914|280000000139919|280000000140205|280000000140210|280000000140215|280000000140220|280000000140227|280000000140238|280000000140619|280000000140623|280000000140627|280000000140631|280000000140635|280000000140639|280000000140643|70000000010936|70000000010933|70000000006165|70000000000551|70000000000639|70000000000793|70000000000552|70000000000618|70000000000640|70000000000794|70000000000641|70000000000795|70000000000619|70000000000796|70000000000620|70000000000643|70000000009685|70000000000642|70000000000621|70000000000644|70000000000622|70000000000699|70000000000797|70000000000645|70000000000798|70000000000550|70000000000559|70000000000553|70000000000561|70000000000548|70000000000560|70000000000623|70000000000624|70000000000799|70000000000547|70000000000625|70000000000626|70000000000549|70000000000627|70000000000628|70000000000629|70000000000700|70000000000800|70000000000544|70000000000630|70000000000801|70000000000631|70000000000545|70000000000632|70000000000633|70000000000634|70000000000635|70000000000637|70000000000803|70000000000802|70000000000636|70000000000638|70000000000546
6660552;(SIGNATURE ILLISIBLE) ?;;anonyme;;;;;;;;;;;110000000126073|110000000126085|110000000126094|110000000126101|110000000126117|110000000126124|110000000126134
9000000000087517;18 AOÛT;"Groupe créé en 1987
- Fabrice Berrux, né le 21 juillet 1964 à Paris
- Bruno Moretti, né le 22 juin 1962 à Nevers
- Pascal Oriol, né le 12 décembre 1962 à Saint-Etienne";groupe;;;;;;;;;groupe;;140000000065966|140000000065967|140000000065968|140000000065969|140000000065970|140000000065972|140000000065971
580000000000223;Dave 2000;;artiste;;;;;;;;;masculin;;580000000001409
9000000000087765;5.5 DESIGNERS;"liste des membres :
Jean-Sébastien Blanc (Nîmes (Occitanie, France), 1980 - )
Vincent Baranger (La Roche-sur-Yon (Pays de la Loire, France), 1980 - )
Anthony Lebosse (Caen (Normandie, France), 1981 - )
Claire Renard (Poissy (Ile-de-France, France), 1980 - )";groupe;;;;;;;;;groupe;;150000000369068|140000000108222|140000000108223|140000000108224|140000000108225|140000000108226|140000000081710|140000000082300|140000000082539|140000000469249|140000000618387|140000000618383|240000000017307|240000000017308|240000000017309|240000000017310|240000000017311|240000000017312|240000000017313|240000000017314|240000000017315|240000000017316|140000000110893|140000000113687|140000000113688|140000000113686|140000000110895|140000000112756|140000000112757|140000000112758|140000000112759|140000000112760|140000000114229|140000000112761|140000000112762|140000000113098|150000000369087|150000000454622|150000000454654|140000000113099|140000000113100|140000000113101|140000000113102|140000000086681|140000000632057|140000000632059|140000000632061|140000000114035|140000000632063|140000000632065|140000000632067|140000000086852
